region,month,count
West,2018-04,79
West,2018-05,82
West,2018-06,64
West,2018-07,85
West,2018-08,62
West,2018-09,59
West,2018-10,70
West,2018-11,56
West,2018-12,70
West,2019-01,79
West,2019-02,68
West,2019-03,64
West,2019-04,59
West,2019-05,43
West,2019-06,50
West,2019-07,50
West,2019-08,46
West,2019-09,41
West,2019-10,61
West,2019-11,37
West,2019-12,34
West,2020-01,42
West,2020-02,28
West,2020-03,34
West,2020-04,33
West,2020-05,30
West,2020-06,26
West,2020-07,27
West,2020-08,22
West,2020-09,22
West,2020-10,23
West,2020-11,15
West,2020-12,23
West,2021-01,30
West,2021-02,20
West,2021-03,19
West,2021-04,21
West,2021-05,18
West,2021-06,9
West,2021-07,22
West,2021-08,20
West,2021-09,10
West,2021-10,28
West,2021-11,15
West,2021-12,15
West,2022-01,37
West,2022-02,31
West,2022-03,20
West,2022-04,38
West,2022-05,27
West,2022-06,27
West,2022-07,23
West,2022-08,32
West,2022-09,24
West,2022-10,29
West,2022-11,16
West,2022-12,16
West,2023-01,14
West,2023-02,19
West,2023-03,17
West,2023-04,8
West,2023-05,10
West,2023-06,10
West,2023-07,19
West,2023-08,22
West,2023-09,11
West,2023-10,19
West,2023-11,15
West,2023-12,14
West,2024-01,18
West,2024-02,15
West,2024-03,13
West,2024-04,8
NA,2012-03,7
NA,2012-04,3
NA,2012-05,1
NA,2012-06,4
NA,2012-07,5
NA,2012-08,3
NA,2012-09,1
NA,2012-10,2
NA,2012-11,2
NA,2013-01,1
NA,2013-02,1
NA,2013-03,2
NA,2013-04,5
NA,2013-05,5
NA,2013-06,1
NA,2013-07,1
NA,2013-08,3
NA,2013-09,5
NA,2013-10,3
NA,2013-11,1
NA,2013-12,1
NA,2014-01,2
NA,2014-02,2
NA,2014-03,4
NA,2014-04,5
NA,2014-05,1
NA,2014-06,1
NA,2014-07,1
NA,2014-08,1
NA,2014-09,1
NA,2014-10,2
NA,2014-11,3
NA,2014-12,1
NA,2015-01,4
NA,2015-02,1
NA,2015-03,3
NA,2015-05,1
NA,2015-07,1
NA,2015-08,3
NA,2015-09,2
NA,2015-10,1
NA,2015-12,6
NA,2016-03,8
NA,2016-04,3
NA,2016-05,9
NA,2016-06,1
NA,2016-07,4
NA,2016-08,12
NA,2016-09,1
NA,2016-10,4
NA,2016-11,2
NA,2016-12,2
NA,2017-01,33
NA,2017-02,16
NA,2017-03,14
NA,2017-04,14
NA,2017-05,8
NA,2017-06,15
NA,2017-07,10
NA,2017-08,17
NA,2017-09,12
NA,2017-10,10
NA,2017-11,15
NA,2017-12,9
NA,2018-01,13
NA,2018-02,8
NA,2018-03,17
NA,2018-04,21
NA,2018-05,12
NA,2018-06,12
NA,2018-07,12
NA,2018-08,13
NA,2018-09,14
NA,2018-10,8
NA,2018-11,10
NA,2018-12,7
NA,2019-01,21
NA,2019-02,11
NA,2019-03,12
NA,2019-04,8
NA,2019-05,9
NA,2019-06,8
NA,2019-07,6
NA,2019-08,4
NA,2019-09,5
NA,2019-10,10
NA,2019-11,6
NA,2019-12,4
NA,2020-01,7
NA,2020-02,7
NA,2020-03,4
NA,2020-04,10
NA,2020-05,1
NA,2020-06,4
NA,2020-07,5
NA,2020-08,4
NA,2020-09,2
NA,2020-10,5
NA,2020-11,5
NA,2020-12,7
NA,2021-01,3
NA,2021-02,3
NA,2021-03,5
